deadline,life loan,ITEM_AMOUNT
2015-09-04,270,3000000
,1080,1280000
2015-09-06,120,2000000
2015-09-09,360,2000000
2015-09-04,180,280000
2015-09-02,360,3000000
2015-08-27,120,2000000
,1080,1280000
2015-08-23,360,2000000
2015-08-20,360,1300000
2015-08-16,360,3000000
2015-08-09,360,3000000
2015-08-06,180,3000000
2015-08-07,270,3000000
2015-07-20,360,200000
2015-07-04,360,12800
,1080,1280000
2015-08-01,180,1770000
,1080,1280000
2015-07-18,180,3000000
2015-07-12,240,280000
2015-07-03,360,1500000
2015-07-12,60,
2015-07-04,360,2700000
2015-07-02,270,3000000
2015-06-30,330,3000000
2015-12-17,,
2015-06-19,240,770000
,1080,1280000
2015-06-13,180,3000000
2015-06-01,360,3000000
2015-06-07,180,2000000
2015-05-24,360,3000000
2015-12-01,,
2015-05-26,330,3000000
2015-05-22,270,720000
2015-05-23,180,3000000
2015-05-13,360,3000000
2015-05-23,180,2000000
2015-05-23,270,3920000
,1080,1280000
2015-05-02,120,2000000
2015-05-13,180,3000000
2015-09-01,,
2015-05-03,180,3000000
2015-04-30,150,700000
2015-04-25,60,1000000
2015-05-02,210,1000000
2015-04-21,180,1000000
2015-04-09,90,2700000
2015-04-05,90,2000000
2015-04-02,300,3000000
2015-04-10,210,3000000
2015-03-30,240,4000000
2015-03-29,120,300000
2015-03-25,120,220000
2015-03-23,180,350000
2015-03-17,240,4000000
2015-09-07,,
2015-03-01,90,1000000
2015-03-05,240,3000000
2015-03-11,180,4000000
2015-03-01,90,800000
2015-02-26,90,600000
2015-02-20,90,600000
2015-02-25,240,3000000
2015-03-03,240,3000000
2015-02-18,240,2000000
2015-02-17,180,2000000
2015-05-12,,
2015-02-09,90,2400000
,1080,1280000
2015-02-04,60,1000000
2015-02-02,90,3000000
2015-02-06,60,1000000
2015-02-01,180,2000000
,1080,1280000
2015-02-03,120,4000000
,1080,2560000
2015-01-27,180,1300000
2015-01-27,270,450000
2015-01-12,90,3000000
2015-01-09,120,4000000
,1080,1280000
2014-12-28,180,2000000
2014-12-20,120,2000000
2014-12-11,120,2000000
2014-12-20,180,2000000
2014-12-01,90,1800000
2014-11-26,120,1800000
2014-11-21,90,3000000
2014-11-17,90,3000000
2014-11-11,120,1800000
2014-11-10,60,1000000
2014-11-06,300,3000000
2014-10-26,300,3000000
2014-10-16,90,500000
2014-10-20,300,4000000
2014-10-11,240,5000000
2014-09-30,90,1400000
2014-09-24,270,2900000
2014-09-09,180,3000000
2014-09-06,120,450000
2014-09-04,240,5000000
2014-08-28,60,1000000
2014-08-25,90,2000000
2014-06-26,360,8000000
2014-05-12,180,5500000
2014-05-07,120,1000000
2014-04-23,120,1000000
